,pi_lo,pi_hi
2025-10-30,2264.080458984375,2293.77365234375
2025-10-31,2266.28529296875,2295.978486328125
2025-11-03,2264.080703125,2293.773896484375
2025-11-04,2266.05287109375,2295.746064453125
2025-11-05,2264.080703125,2293.773896484375
2025-11-06,2266.05287109375,2295.746064453125
2025-11-07,2264.1187890625,2293.811982421875
2025-11-10,2266.05287109375,2295.746064453125
2025-11-11,2264.108779296875,2293.80197265625
2025-11-12,2266.05287109375,2295.746064453125
2025-11-13,2264.10169921875,2293.794892578125
2025-11-14,2266.05287109375,2295.746064453125
2025-11-17,2264.10169921875,2293.794892578125
2025-11-18,2266.05287109375,2295.746064453125
2025-11-19,2264.10169921875,2293.794892578125
2025-11-20,2266.0601953125,2295.753388671875
2025-11-21,2264.10169921875,2293.794892578125
2025-11-24,2266.068740234375,2295.76193359375
2025-11-25,2264.10169921875,2293.794892578125
2025-11-26,2266.06751953125,2295.760712890625
2025-11-27,2264.092177734375,2293.78537109375
2025-11-28,2266.083876953125,2295.7770703125
2025-12-01,2264.0758203125,2293.769013671875
2025-12-02,2266.896865234375,2296.59005859375
2025-12-03,2264.083876953125,2293.7770703125
2025-12-04,2268.77796875,2298.471162109375
2025-12-05,2264.094375,2293.787568359375
2025-12-08,2268.882705078125,2298.5758984375
2025-12-09,2265.1070703125,2294.800263671875
2025-12-10,2269.248671875,2298.941865234375
2025-12-11,2266.076064453125,2295.7692578125
2025-12-12,2269.260634765625,2298.953828125
2025-12-15,2266.09046875,2295.783662109375
2025-12-16,2269.16810546875,2298.861298828125
2025-12-17,2266.092666015625,2295.785859375
2025-12-18,2268.78919921875,2298.482392578125
2025-12-19,2266.091201171875,2295.78439453125
2025-12-22,2268.270888671875,2297.96408203125
2025-12-23,2266.0914453125,2295.784638671875
2025-12-24,2267.57142578125,2297.264619140625
2025-12-25,2266.091689453125,2295.7848828125
2025-12-26,2267.552626953125,2297.2458203125
2025-12-29,2266.081923828125,2295.7751171875
2025-12-30,2267.538466796875,2297.23166015625
2025-12-31,2266.081923828125,2295.7751171875
2026-01-01,2267.538466796875,2297.23166015625
2026-01-02,2265.671767578125,2295.3649609375
2026-01-05,2267.538466796875,2297.23166015625
2026-01-06,2265.095595703125,2294.7887890625
2026-01-07,2267.538466796875,2297.23166015625
2026-01-08,2265.10365234375,2294.796845703125
2026-01-09,2267.5601953125,2297.253388671875
2026-01-12,2265.10365234375,2294.796845703125
2026-01-13,2267.5816796875,2297.274873046875
2026-01-14,2265.10365234375,2294.796845703125
2026-01-15,2267.595595703125,2297.2887890625
2026-01-16,2265.095595703125,2294.7887890625
2026-01-19,2267.594375,2297.287568359375
2026-01-20,2265.09583984375,2294.789033203125
2026-01-21,2267.596328125,2297.289521484375
2026-01-22,2265.524794921875,2295.21798828125
2026-01-23,2267.596328125,2297.289521484375
2026-01-26,2265.574599609375,2295.26779296875
2026-01-27,2267.596328125,2297.289521484375
2026-01-28,2266.11244140625,2295.805634765625
2026-01-29,2267.596328125,2297.289521484375
2026-01-30,2266.532119140625,2296.2253125
2026-02-02,2267.591689453125,2297.2848828125
2026-02-03,2266.556044921875,2296.24923828125
2026-02-04,2267.5894921875,2297.282685546875
2026-02-05,2266.554580078125,2296.2477734375
2026-02-06,2267.5894921875,2297.282685546875
2026-02-09,2266.531875,2296.225068359375
2026-02-10,2267.5894921875,2297.282685546875
2026-02-11,2266.531875,2296.225068359375
2026-02-12,2267.5894921875,2297.282685546875
2026-02-13,2266.531875,2296.225068359375
2026-02-16,2267.5894921875,2297.282685546875
2026-02-17,2266.522353515625,2296.215546875
2026-02-18,2267.5894921875,2297.282685546875
2026-02-19,2266.112197265625,2295.805390625
2026-02-20,2267.5894921875,2297.282685546875
2026-02-23,2265.53626953125,2295.229462890625
